1kp_index_id,Species,Description,Order
BOGT,Mallomonas_sp.,Outgroup,Chrysophyta
DBYD,Synura_petersenii,Outgroup,Chrysophyta
VKVG,Synura_sp.,Outgroup,Chrysophyta
BAJW,Isochrysis_sp.,Outgroup,Haptophyceae
EBWI,Rebecca_salina,Outgroup,Haptophyceae
LLEN,Pavlova_lutheri,Outgroup,Haptophyceae
LXRN,Prymnesium_parvum,Outgroup,Haptophyceae
NMAK,Pavlova_lutheri,Outgroup,Haptophyceae
RFAD,Pavlova_lutheri,Outgroup,Haptophyceae
VJED,Pavlova_lutheri,Outgroup,Haptophyceae
APTP,Ishige_okamurae,Outgroup,Outgroup
ASZK,Punctaria_latifolia,Outgroup,Outgroup
BAKF,Cryptomonas_curvata,Outgroup,Outgroup
FIDQ,Undaria_pinnatifida,Outgroup,Outgroup
FIKG,Sargassum_henslowianum,Outgroup,Outgroup
FOMH,Sargassum_integerrimum,Outgroup,Outgroup
FSQE,Desmarestia_viridis,Outgroup,Outgroup
HFIK,Sargassum_vachellianum,Outgroup,Outgroup
IAYV,Rhodomonas_sp.,Outgroup,Outgroup
IRZA,Proteomonas_sulcata,Outgroup,Outgroup
JCXF,Scytosiphon_lomentaria,Outgroup,Outgroup
JGGD,Sargassum_muticum,Outgroup,Outgroup
LDRY,Sargassum_fusiforme,Outgroup,Outgroup
LIRF,Dictyopteris_undulata,Outgroup,Outgroup
QLMZ,Colpomenia_sinuosa,Outgroup,Outgroup
RAPY,Saccharina_sculpera,Outgroup,Outgroup
ROZZ,Chroomonas_sp.,Outgroup,Outgroup
RWXW,Sargassum_horneri,Outgroup,Outgroup
SRSQ,Saccharina_japonica,Outgroup,Outgroup
ULXR,Scytosiphon_dotyi,Outgroup,Outgroup
VRGZ,Petalonia_fascia,Outgroup,Outgroup
VYER,Sargassum_hemiphyllum,Outgroup,Outgroup
YRMA,Sargassum_thunbergii,Outgroup,Outgroup
ANON,Leiosporoceros_dussii,Hornworts,Anthocerotales
BSNI,Anthoceros_agrestis,Hornworts,Anthocerotales
DXOU,Nothoceros_aenigmaticus,Hornworts,Anthocerotales
FAJB,Paraphymatoceros_hallii,Hornworts,Anthocerotales
TCBC,Nothoceros_vincentianus,Hornworts,Anthocerotales
TWUW,Anthoceros_agrestis,Hornworts,Anthocerotales
WCZB,Phaeoceros_carolinianus,Hornworts,Anthocerotales
WEEQ,Phaeoceros_carolinianus,Hornworts,Anthocerotales
AKXB,Phaeomegaceros_coriaceus,Hornworts,Dendrocerotales
UCRN,Megaceros_flagellaris,Hornworts,Dendrocerotales
Phypa_v3.0,Physcomitrella_patens,Bryophytes,Funariales
WOGB,Andreaea_rupestris,Bryophytes,Andreaeales
ORKS,Philonotis_fontana,Bryophytes,Bartramiales
BGXB,Plagiomnium_insigne,Bryophytes,Bryales
JMXW,Bryum_argenteum,Bryophytes,Bryales
XWHK,Rosulabryum_cf._capillare,Bryophytes,Bryales
AWOI,Diphyscium_foliosum,Bryophytes,Diphysciales
HRWG,Buxbaumia_aphylla,Bryophytes,Buxbaumiales
FFPD,Ceratodon_purpureus,Bryophytes,Dicranales
NGTD,Dicranum_scoparium,Bryophytes,Dicranales
RGKI,Leucobryum_glaucum,Bryophytes,Dicranales
VMXJ,Leucobryum_albidum,Bryophytes,Dicranales
KEFD,Encalypta_streptocarpa,Bryophytes,Encalyptales
YEPO,Physcomitrium_sp.,Bryophytes,Funariales
ABCD,Racomitrium_elongatum,Bryophytes,Grimmiales
BPSG,Scouleria_aquatica,Bryophytes,Grimmiales
RDOO,Racomitrium_varium,Bryophytes,Grimmiales
YWNF,Hedwigia_ciliata,Bryophytes,Hedwigiales
DHWX,Fontinalis_antipyretica,Bryophytes,Hypnales
EEMJ,Thuidium_delicatulum,Bryophytes,Hypnales
IGUH,Leucodon_julaceus,Bryophytes,Hypnales
JADL,Rhynchostegium_serrulatum,Bryophytes,Hypnales
LNSF,Stereodon_subimponens,Bryophytes,Hypnales
MIRS,Climacium_dendroides,Bryophytes,Hypnales
QKQO,Pseudotaxiphyllum_elegans,Bryophytes,Hypnales
QMWB,Anomodon_attenuatus,Bryophytes,Hypnales
TAVP,Calliergon_cordifolium,Bryophytes,Hypnales
TMAJ,Neckera_douglasii,Bryophytes,Hypnales
VBMM,Claopodium_rostratum,Bryophytes,Hypnales
WSPM,Loeskeobryum_brevirostre,Bryophytes,Hypnales
ZACW,Leucodon_brachypus,Bryophytes,Hypnales
SZYG,Polytrichum_commune,Bryophytes,Polytrichales
ZTHV,Atrichum_angustatum,Bryophytes,Polytrichales
GRKU,Syntrichia_princeps,Bryophytes,Pottiales
CMEQ,Orthotrichum_lyellii,Bryophytes,Orthotrichales
WNGH,Aulacomnium_heterostichum,Bryophytes,Rhizogoniales
GOWD,Sphagnum_lescurii,Bryophytes,Sphagnales
RCBT,Sphagnum_palustre,Bryophytes,Sphagnales
UHLI,Sphagnum_recurvum,Bryophytes,Sphagnales
