Onekp_index_id,Onekp_index_id_2,Onekp_index_id_3,Onekp_index_id_4,Onekp_index_id_5,Onekp_index_id_6,Phyto_species,Description,Order,Species,TaxId
VSRH,,,,,,,Acrogymnospermae,Pinales,Abies_lasiocarpa,34340
ZCDJ,,,,,,,Core_eudicots/Rosids,Fabales,Acacia_argyrophylla,1120440
ATQZ,MGBF,PJSX,,,,,Core_eudicots/Rosids,Fabales,Acacia_pycnantha,880440
VFFP,,,,,,,Core_eudicots/Rosids,Sapindales,Acer_negundo,4023
HILW,,,,,,,Acrogymnospermae,Pinales,Acmopyle_pancheri,58026
MTII,,,,,,Aamericanus_v1.1,Monocots/Commelinids,Acorales,Acorus_americanus,263995
JIWJ,,,,,,,Chlorophyta_algae,Ulotrichales,Acrosiphonia_sp,29214
QAUE,,,,,,,Core_eudicots/Asterids,Ericales,Actinidia_chinensis,3625
WCLG,,,,,,,Leptosporangiate_Ferns,Polypodiales,Adiantum_aleuticum,412743
BMJR,,,,,,,Leptosporangiate_Ferns,Polypodiales,Adiantum_raddianum,32168
EMIG,PDQH,VKOE,,,,,Eudicots,Caryophyllales,Aerva_lanata,292353
GBCQ,HDSY,MEAH,,,,,Eudicots,Caryophyllales,Aerva_persica,1799555
HBHB,,,,,,,Core_eudicots/Rosids,Sapindales,Aesculus_pavia,43872
QUTB,,,,,,,Eudicots,Berberidopsidales,Aextoxicon_punctatum,39268
PRFO,,,,,,,Monocots/Commelinids,Asparagales,Agapanthus_africanus,51501
PUCW,,,,,,,Core_eudicots/Asterids,Lamiales,Agastache_rugosa,39271
MIXZ,,,,,,,Acrogymnospermae,Pinales,Agathis_robusta,60854
KXSK,,,,,,,Monocots/Commelinids,Asparagales,Agave_tequilana,386106
QICX,,,,,,,Core_eudicots/Rosids,Sapindales,Ailanthus_altissima,23810
UCNM,,,,,,,Core_eudicots/Asterids,Lamiales,Ajuga_reptans,38596
HYZL,,,,,,,Core_eudicots/Rosids,Brassicales,Akania_lucens,1799556
CCID,,,,,,,Eudicots,Ranunculales,Akebia_trifoliata,155132
FWBF,,,,,,,Core_eudicots/Asterids,Cornales,Alangium_chinense,16897
MGVU,,,,,,,Core_eudicots/Asterids,Gentianales,Allamanda_cathartica,52818
DVXD,,,,,,,Eudicots,Caryophyllales,Allionia_incarnata,122398
KBXS,,,,,,,Monocots/Commelinids,Asparagales,Allium_commutatum,546490
GJPF,,,,,,,Monocots/Commelinids,Asparagales,Allium_sativum,4682
LWDA,,,,,,,Core_eudicots/Rosids,Fagales,Alnus_serrulata,253219
JVBR,,,,,,,Monocots/Commelinids,Asparagales,Aloe_vera,34199
GANB,,,,,,,Leptosporangiate_Ferns,Cyatheales,Alsophila_pinulosa,
ENCD,KTQI,ZBPY,,,,,Eudicots,Caryophyllales,Alternanthera_brasileana,1167232
OHKC,VUIT,WGUG,,,,,Eudicots,Caryophyllales,Alternanthera_caracasana,213817
OYST,LUNL,BWRK,,,,,Eudicots,Caryophyllales,Alternanthera_sessilis,221762
DBCE,DEMH,EYRD,,,,,Eudicots,Caryophyllales,Alternanthera_tenella,326744
,,,,,,Alinifolium_v1.1,Core_eudicots/Rosids,Brassicales,Alyssum_linifolium,
XSSD,,,,,,,Eudicots,Caryophyllales,Amaranthus_cruentus,117272
,,,,,,Ahypochondriacus_v2.1,Eudicots,Caryophyllales,Amaranthus_hypochondriacus,
WMLW,,,,,,,Eudicots,Caryophyllales,Amaranthus_retroflexus,124763
LDME,,,,,,,Monocots/Commelinids,Asparagales,Amaryllis_belladonna,51432
Ambtr_v1.0.27,URDJ,,,,,Atrichopoda_v1.0,Basal_angiosperms,Amborellales,Amborella_trichopoda,13333
EAVM,,,,,,,Core_eudicots/Rosids,Rosales,Amelanchier_canadensis,52523
IAJW,,,,,,,Acrogymnospermae,Pinales,Amentotaxus_argotaenia,25625
,,,,,,Aoccidentale_v0.9,Core_eudicots/Rosids,Sapindales,Anacardium_occidentale,
,,,,,,Acomosus_v3,Monocots/Commelinids,Poales,Ananas_comosus,
WOGB,,,,,,,Bryophytes,Andreaeales,Andreaea_rupestris,13797
CQPW,,,,,,,Leptosporangiate_Ferns,Schizaeales,Anemia_tomentosa,148559
ZUHO,,,,,,,Eudicots,Ranunculales,Anemone_hupehensis,168000
UPOG,,,,,,,Eudicots,Ranunculales,Anemone_pulsatilla,445234
TQKZ,,,,,,,Core_eudicots/Asterids,Apiales,Angelica_archangelica,40949
NHCM,,,,,,,Marattiales,Marattiales,Angiopteris_evecta,13825
PCGJ,,,,,,,Core_eudicots/Asterids,Lamiales,Anisacanthus_quadrifidas,479633
OTQG,,,,,,,Chlorophyta_algae,Sphaeropleales,Ankistrodesmus_sp,3108
YZRI,,,,,,,Magnoliids,Magnoliales,Annona_muricata,13337
QMWB,,,,,,,Bryophytes,Hypnales,Anomodon_attenuatus,119543
VBMM,,,,,,,Bryophytes,Hypnales,Anomodon_rostratus,169504
GUMF,,,,,,,Core_eudicots/Asterids,Asterales,Anthemis_tinctoria,99028
EBOL,TPUT,,,,,,Core_eudicots/Asterids,Lamiales,Anthirrhinum_majus,4151
TWUW,BSNI,,,,,,Hornworts,Anthocerotales,Anthoceros_agrestis,41834
EJBY,,,,,,,Core_eudicots/Asterids,Lamiales,Anticharis_glandulosa,258768
YRHD,,,,,,,Core_eudicots/Asterids,Lamiales,Antirrhinum_braunBlanquetii,102593
XISJ,,,,,,,Core_eudicots/Asterids,Lamiales,Antirrhinum_majus,
IJMT,,,,,,,Chlorophyta_algae,Chaetophorales,Aphanochaete_repens,764106
TOKV,,,,,,,Core_eudicots,Saxifragales,Aphanopetalum_resinosum,131160
NXOH,,,,,,,Core_eudicots/Rosids,Fabales,Apios_americana,185702
JCLQ,UFQC,,,,,,Core_eudicots/Asterids,Gentianales,Apocynum_androsaemifolium,61254
Aquco_v1.1,,,,,,Acoerulea_v3.1,Eudicots,Ranunculales,Aquilegia_coerulea,
,,,,,,Ahalleri_v1.1,Core_eudicots/Rosids,Brassicales,Arabidopsis_halleri,
,,,,,,Alyrata_v2.1,Core_eudicots/Rosids,Brassicales,Arabidopsis_lyrata,
Arath_TAIR10,,,,,,,Core_eudicots/Rosids,Brassicales,Arabidopsis_thaliana,
TZWR,,,,,,,Core_eudicots/Rosids,Brassicales,Arabis_alpina,50452
,,,,,,Ahypogaea_v1.0,Core_eudicots/Rosids,Fabales,Arachis_hypogaea,
XTZO,,,,,,,Acrogymnospermae,Pinales,Araucaria_rulei,60865
ACWS,,,,,,,Acrogymnospermae,Pinales,Araucaria_sp,25666
ODDO,,,,,,,Core_eudicots/Asterids,Ericales,Ardisia_humilis,587400
