Query accesion	Subject Seq-id	Subject Scientific Name	Subject Taxonomy ID	Percentage of identical matches	Alignment length	Number of mismatches	Number of gap openings	Start of alignment in query	End of alignment in query	Start of alignment in subject	End of alignment in subject	Total number of gap	Expect value	Bit score
BLAST_AUTO_ID_1	gnl|onekp|DLJZ_scaffold_2059039	Solanum ptychanthum	45838	97.149	912	25	1	1	911	1	912	1	0.0	1854
BLAST_AUTO_ID_1	gnl|onekp|GHLP_scaffold_2060647	Solanum dulcamara	45834	96.711	912	28	2	1	911	1	911	2	0.0	1841
BLAST_AUTO_ID_1	gnl|onekp|NMDZ_scaffold_2097332	Solanum sisymbriifolium	205582	94.951	911	45	1	1	911	1	910	1	0.0	1778
BLAST_AUTO_ID_1	gnl|onekp|UGJI_scaffold_2005747	Solanum cheesmaniae	142759	95.280	911	39	2	1	911	1	907	4	0.0	1777
BLAST_AUTO_ID_1	gnl|onekp|AIOU_scaffold_2071582	Brugmansia sanguinea	540794	95.060	911	44	1	1	911	1	910	1	0.0	1768
BLAST_AUTO_ID_1	gnl|onekp|OSMU_scaffold_2015723	N/A	24646	93.969	912	54	1	1	911	1	912	1	0.0	1764
BLAST_AUTO_ID_1	gnl|onekp|LWCK_scaffold_2078902	Lycium barbarum	112863	93.743	911	57	0	1	911	1	911	0	0.0	1762
BLAST_AUTO_ID_1	gnl|onekp|LQJY_scaffold_2083664	Solanum virginianum	223891	93.853	911	55	1	1	911	1	910	1	0.0	1757
BLAST_AUTO_ID_1	gnl|onekp|UGJI_scaffold_2005745	Solanum cheesmaniae	142759	94.350	885	46	2	1	885	1	881	4	0.0	1733
BLAST_AUTO_ID_1	gnl|onekp|UGJI_scaffold_2005746	Solanum cheesmaniae	142759	94.576	885	44	2	1	885	1	881	4	0.0	1713
BLAST_AUTO_ID_1	gnl|onekp|XKVX_scaffold_2011288	Heliotropium filiforme	1475407	81.967	915	147	6	1	911	1	901	18	0.0	1582
BLAST_AUTO_ID_1	gnl|onekp|IPPG_scaffold_2060185	Heliotropium filiforme	1475407	81.967	915	147	6	1	911	1	901	18	0.0	1582
BLAST_AUTO_ID_1	gnl|onekp|EDEQ_scaffold_2014501	Wrightia natalensis	992810	83.007	918	140	8	1	911	1	909	16	0.0	1582
BLAST_AUTO_ID_1	gnl|onekp|COBX_scaffold_2072526	Polypremum procumbens	83689	83.025	919	135	7	1	911	1	906	21	0.0	1579
BLAST_AUTO_ID_1	gnl|onekp|ABEH_scaffold_2011960	Heliotropium greggii	1799584	81.858	915	148	6	1	911	1	901	18	0.0	1578
BLAST_AUTO_ID_1	gnl|onekp|MZOB_scaffold_2013859	Heliotropium mendocinum	168351	81.639	915	150	6	1	911	1	901	18	0.0	1576
BLAST_AUTO_ID_1	gnl|onekp|BCAA_scaffold_2074725	Kirkia wilmsii	43703	80.958	919	149	8	1	911	1	901	26	0.0	1555
BLAST_AUTO_ID_1	gnl|onekp|UEEN_scaffold_2031822	Forestiera segregata	126416	80.932	923	148	6	1	911	1	907	28	0.0	1548
BLAST_AUTO_ID_1	gnl|onekp|YSRZ_scaffold_2007032	Fouquieria macdougalii	98238	77.847	966	148	6	1	911	1	955	66	0.0	1546
BLAST_AUTO_ID_1	gnl|onekp|TPUT_scaffold_2002459	Antirrhinum majus	4151	80.978	920	162	6	1	911	1	916	13	0.0	1543
BLAST_AUTO_ID_1	gnl|onekp|DKFZ_scaffold_2069437	Mertensia paniculata	620842	81.461	917	159	6	1	911	1	912	11	0.0	1543
BLAST_AUTO_ID_1	gnl|onekp|DMLT_scaffold_2103329	Vitex agnus-castus	54477	81.271	913	167	4	1	911	1	911	4	0.0	1542
