Query accesion	Subject Seq-id	Subject Scientific Name	Subject Taxonomy ID	Percentage of identical matches	Alignment length	Number of mismatches	Number of gap openings	Start of alignment in query	End of alignment in query	Start of alignment in subject	End of alignment in subject	Total number of gap	Expect value	Bit score
BLAST_AUTO_ID_1	gnl|onekp|VMNH_scaffold_2088457	Sinapis alba	3728	99.374	479	3	0	1	479	1	479	0	0.0	994
BLAST_AUTO_ID_1	gnl|onekp|TZWR_scaffold_2046988	Arabis alpina	50452	99.374	479	3	0	1	479	1	479	0	0.0	993
BLAST_AUTO_ID_1	gnl|onekp|IPWB_scaffold_2087152	Brassica nigra	3710	99.165	479	4	0	1	479	1	479	0	0.0	992
BLAST_AUTO_ID_1	gnl|onekp|HABV_scaffold_2006385	Draba aizoides	87302	99.582	478	2	0	1	478	1	478	0	0.0	991
BLAST_AUTO_ID_1	gnl|onekp|LJQF_scaffold_2060070	Draba ossetica	1282118	99.581	477	2	0	1	477	1	477	0	0.0	989
BLAST_AUTO_ID_1	gnl|onekp|UVQL_scaffold_2011407	Draba magellanica	126261	99.581	477	2	0	1	477	1	477	0	0.0	989
BLAST_AUTO_ID_1	gnl|onekp|BXBF_scaffold_2019280	Draba sachalinensis	381185	99.160	476	4	0	1	476	1	476	0	0.0	984
BLAST_AUTO_ID_1	gnl|onekp|GTSV_scaffold_2009453	Draba hispida	311937	98.954	478	4	1	1	478	1	477	1	0.0	983
BLAST_AUTO_ID_1	gnl|onekp|UAXP_scaffold_2013688	Gyrostemon ramulosus	1664126	98.326	478	8	0	1	478	1	478	0	0.0	978
BLAST_AUTO_ID_1	gnl|onekp|SWPE_scaffold_2011207	Reseda odorata	415819	98.529	476	7	0	1	476	1	476	0	0.0	978
BLAST_AUTO_ID_1	gnl|onekp|UPZX_scaffold_2044208	Corynandra viscosa	190804	98.109	476	9	0	1	476	1	476	0	0.0	977
BLAST_AUTO_ID_1	gnl|onekp|CRNC_scaffold_2043135	Limnanthes douglasii	28973	97.059	476	14	0	1	476	8	483	0	0.0	969
BLAST_AUTO_ID_1	gnl|onekp|JOIS_scaffold_2035692	Koeberlinia spinosa	28533	97.059	476	14	0	1	476	1	476	0	0.0	968
BLAST_AUTO_ID_1	gnl|onekp|RTTY_scaffold_2020442	N/A	4325	96.218	476	18	0	1	476	8	483	0	0.0	936
BLAST_AUTO_ID_1	gnl|onekp|PWSG_scaffold_2003420	Cyperus papyrus	76434	93.697	476	30	0	1	476	8	483	0	0.0	934
BLAST_AUTO_ID_1	gnl|onekp|RKFX_scaffold_2047470	Cercis canadensis	49801	96.211	475	18	0	1	475	1	475	0	0.0	933
BLAST_AUTO_ID_1	gnl|onekp|CZPV_scaffold_2050654	Moringa oleifera	3735	95.789	475	20	0	1	475	1	475	0	0.0	932
BLAST_AUTO_ID_1	gnl|onekp|ACFP_scaffold_2033263	Boehmeria nivea	83906	96.000	475	19	0	1	475	1	475	0	0.0	932
BLAST_AUTO_ID_1	gnl|onekp|CNTZ_scaffold_2007331	Oncidium sphacelatum	48524	92.678	478	31	1	1	478	1	474	4	0.0	931
BLAST_AUTO_ID_1	gnl|onekp|DXQW_scaffold_2062778	Juglans nigra	16719	95.579	475	21	0	1	475	1	475	0	0.0	931
BLAST_AUTO_ID_1	gnl|onekp|YGAT_scaffold_2047209	N/A	58880	95.579	475	21	0	1	475	1	475	0	0.0	931
BLAST_AUTO_ID_1	gnl|onekp|VQFW_scaffold_2062764	Platanus occidentalis	4403	95.368	475	22	0	1	475	1	475	0	0.0	931
BLAST_AUTO_ID_1	gnl|onekp|CWZU_scaffold_2006687	Betula pendula	3505	95.368	475	22	0	1	475	1	475	0	0.0	931
BLAST_AUTO_ID_1	gnl|onekp|WQRD_scaffold_2059738	Galium boreale	35896	95.378	476	22	0	1	476	8	483	0	0.0	930
BLAST_AUTO_ID_1	gnl|onekp|REOF_scaffold_2001056	Hakea prostrata	1136207	95.579	475	21	0	1	475	1	475	0	0.0	930
BLAST_AUTO_ID_1	gnl|onekp|BSTR_scaffold_2095671	Elegia tectorum	311269	94.958	476	24	0	1	476	8	483	0	0.0	930
BLAST_AUTO_ID_1	gnl|onekp|YHXT_scaffold_2057682	Hamamelis virginiana	4397	95.368	475	22	0	1	475	1	475	0	0.0	929
BLAST_AUTO_ID_1	gnl|onekp|DMKC_scaffold_2043671	Hamamelis virginiana	4397	95.368	475	22	0	1	475	1	475	0	0.0	929
BLAST_AUTO_ID_1	gnl|onekp|AUIP_scaffold_2027303	Phelline lucida	92224	95.158	475	23	0	1	475	1	475	0	0.0	929
BLAST_AUTO_ID_1	gnl|onekp|OZJZ_scaffold_2100699	Linum usitatissimum	4006	95.579	475	21	0	1	475	1	475	0	0.0	929
BLAST_AUTO_ID_1	gnl|onekp|OODC_scaffold_2011185	Linum bienne	347648	95.579	475	21	0	1	475	1	475	0	0.0	929
BLAST_AUTO_ID_1	gnl|onekp|OGSY_scaffold_2095433	Linum usitatissimum	4006	95.579	475	21	0	1	475	1	475	0	0.0	929
BLAST_AUTO_ID_1	gnl|onekp|MJAV_scaffold_2099514	Linum usitatissimum	4006	95.579	475	21	0	1	475	1	475	0	0.0	929
BLAST_AUTO_ID_1	gnl|onekp|HQRJ_scaffold_2126030	Loropetalum chinense	64118	95.368	475	22	0	1	475	8	482	0	0.0	929
BLAST_AUTO_ID_1	gnl|onekp|HNCF_scaffold_2003449	Linum hirsutum	586379	95.579	475	21	0	1	475	1	475	0	0.0	929
BLAST_AUTO_ID_1	gnl|onekp|ZHMB_scaffold_2014650	Krameria lanceolata	66689	95.579	475	21	0	1	475	8	482	0	0.0	929
BLAST_AUTO_ID_1	gnl|onekp|VTLJ_scaffold_2015036	Caiophora chuquitensis	193467	95.368	475	22	0	1	475	1	475	0	0.0	929
BLAST_AUTO_ID_1	gnl|onekp|SXCE_scaffold_2040684	Physocarpus opulifolius	133202	95.368	475	22	0	1	475	1	475	0	0.0	929
